ValidStart,hasDry,lag1,lag2
2015-01-20,31.231348244796486,28.112898415657057,27.37310034172102
2015-01-27,38.619698664181406,31.231348244796486,28.112898415657057
2015-02-03,35.24169617893755,38.619698664181406,31.231348244796486
2015-02-10,39.348219944082,35.24169617893755,38.619698664181406
2015-02-17,43.01391425908671,39.348219944082,35.24169617893755
2015-02-24,41.11100031065545,43.01391425908671,39.348219944082
2015-03-03,38.11223050636843,41.11100031065545,43.01391425908671
2015-03-10,37.43566635601115,38.11223050636843,41.11100031065545
2015-03-17,38.887974526250375,37.43566635601115,38.11223050636843
2015-03-24,39.775063684374,38.887974526250375,37.43566635601115
2015-03-31,44.0883876980428,39.775063684374,38.887974526250375
2015-04-07,45.69947499223356,44.0883876980428,39.775063684374
2015-04-14,43.958676607642104,45.69947499223356,44.0883876980428
2015-04-21,36.90823858341101,43.958676607642104,45.69947499223356
2015-04-28,36.230537433985695,36.90823858341101,43.958676607642104
2015-05-05,39.12922646784715,36.230537433985695,36.90823858341101
2015-05-12,39.96305684995338,39.12922646784715,36.230537433985695
2015-05-19,37.09690587138861,39.96305684995338,39.12922646784715
2015-05-26,41.1432432432432,37.09690587138861,39.96305684995338
2015-06-02,30.690447343895606,41.1432432432432,37.09690587138861
2015-06-09,27.593274308791536,30.690447343895606,41.1432432432432
2015-06-16,29.084346070208145,27.593274308791536,30.690447343895606
2015-06-23,27.328247903075503,29.084346070208145,27.593274308791536
2015-06-30,24.764212488350427,27.328247903075503,29.084346070208145
2015-07-07,20.887499223361296,24.764212488350427,27.328247903075503
2015-07-14,20.29355389872631,20.887499223361296,24.764212488350427
2015-07-21,21.323774464119296,20.29355389872631,20.887499223361296
2015-07-28,25.32827275551413,21.323774464119296,20.29355389872631
2015-08-04,30.01034793414102,25.32827275551413,21.323774464119296
2015-08-11,32.217666977322125,30.01034793414102,25.32827275551413
2015-08-18,33.72460702081388,32.217666977322125,30.01034793414102
2015-08-25,33.17367816091952,33.72460702081388,32.217666977322125
2015-09-01,34.69496738117429,33.17367816091952,33.72460702081388
2015-09-08,43.07344206275239,34.69496738117429,33.17367816091952
2015-09-15,44.364106865486164,43.07344206275239,34.69496738117429
2015-09-22,48.21497980739353,44.364106865486164,43.07344206275239
2015-09-29,47.164650512581595,48.21497980739353,44.364106865486164
2015-10-06,38.82772600186396,47.164650512581595,48.21497980739353
2015-10-13,42.341298539919215,38.82772600186396,47.164650512581595
2015-10-20,49.72758310034177,42.341298539919215,38.82772600186396
2015-10-27,45.042230506368405,49.72758310034177,42.341298539919215
2015-11-03,36.673917365641486,45.042230506368405,49.72758310034177
2015-11-10,33.11773221497355,36.673917365641486,45.042230506368405
2015-11-17,29.97036657346997,33.11773221497355,36.673917365641486
2015-11-24,22.520015532774153,29.97036657346997,33.11773221497355
