ValidStart,hasDrought_land_area,lag1,lag2,hasDrought_land_area_pre,yhat_lower,yhat_upper,mape,pe
2020-06-02,33267.0232126291,31831.87870108272,32934.35689886747,31075.49481997554,27980.459529228763,33857.70066051081,0.04937803299175836,0.04393461346627123
2020-06-09,35870.68769926258,33267.0232126291,31831.87870108272,33766.93082600323,30800.387738807414,36860.4828809896,0.04937803299175836,0.04393461346627123
2020-06-16,40565.58554667082,35870.68769926258,33267.0232126291,36852.89942127949,33891.65512196355,39663.36118316852,0.04937803299175836,0.04393461346627123
2020-06-23,41481.954107616715,40565.58554667082,35870.68769926258,41652.38451756828,38522.140913514966,44506.650098165104,0.04937803299175836,0.04393461346627123
2020-06-30,42115.32372484757,41481.954107616715,40565.58554667082,41191.91778231413,38245.49446841328,44190.991723217696,0.04937803299175836,0.04393461346627123
2020-07-07,45911.32885142812,42115.32372484757,41481.954107616715,41933.16113056155,38996.66523718585,44790.1801088994,0.04937803299175836,0.04393461346627123
2020-07-14,48569.12633945243,45911.32885142812,42115.32372484757,47120.183970490805,44223.46098474072,50398.638266025075,0.04937803299175836,0.04393461346627123
2020-07-21,52489.53314764158,48569.12633945243,45911.32885142812,49896.79361592599,46932.81055686352,52644.82577318816,0.04937803299175836,0.04393461346627123
2020-07-28,52833.214892050375,52489.53314764158,48569.12633945243,53713.06395497405,50812.54084586973,56757.59883356521,0.04937803299175836,0.04393461346627123
2020-08-04,51319.86446803358,52833.214892050375,52489.53314764158,52052.140498905406,49068.423562892305,54860.84156962318,0.04937803299175836,0.04393461346627123
2020-08-11,50326.50874737709,51319.86446803358,52833.214892050375,49100.78461312212,46324.14227617484,52085.892357651755,0.04937803299175836,0.04393461346627123
2020-08-18,51345.641110454315,50326.50874737709,51319.86446803358,48026.849437710654,44955.993764867766,51028.747994637415,0.04937803299175836,0.04393461346627123
2020-08-25,55226.769229769816,51345.641110454315,50326.50874737709,50055.32032875386,47153.49690395286,52990.97464608609,0.04937803299175836,0.04393461346627123
2020-09-01,59364.68307384886,55226.769229769816,51345.641110454315,55222.28053962399,52314.58476185863,58251.76549262807,0.04937803299175836,0.04393461346627123
