ValidStart,hasDrought_land_area,lag1,lag2
2015-01-20,42916.24174217799,41232.994334396404,40807.136941938385
2015-01-27,47810.097930855634,42916.24174217799,41232.994334396404
2015-02-03,45896.07677825749,47810.097930855634,42916.24174217799
2015-02-10,48500.686389673196,45896.07677825749,47810.097930855634
2015-02-17,55419.65785218093,48500.686389673196,45896.07677825749
2015-02-24,54834.5752345675,55419.65785218093,48500.686389673196
2015-03-03,54330.33449119168,54834.5752345675,55419.65785218093
2015-03-10,53893.809809763545,54330.33449119168,54834.5752345675
2015-03-17,55104.055686857464,53893.809809763545,54330.33449119168
2015-03-24,56402.23731512758,55104.055686857464,53893.809809763545
2015-03-31,59298.1283930087,56402.23731512758,55104.055686857464
2015-04-07,60391.959062803304,59298.1283930087,56402.23731512758
2015-04-14,58359.97566659298,60391.959062803304,59298.1283930087
2015-04-21,53481.29610298381,58359.97566659298,60391.959062803304
2015-04-28,53377.07566973232,53481.29610298381,58359.97566659298
2015-05-05,55701.97151979158,53377.07566973232,53481.29610298381
2015-05-12,55739.93942700671,55701.97151979158,53377.07566973232
2015-05-19,52376.82755878964,55739.93942700671,55701.97151979158
2015-05-26,50994.47660838216,52376.82755878964,55739.93942700671
2015-06-02,45476.0215133292,50994.47660838216,52376.82755878964
2015-06-09,42596.62341088675,45476.0215133292,50994.47660838216
2015-06-16,44526.58762613876,42596.62341088675,45476.0215133292
2015-06-23,46673.267619281294,44526.58762613876,42596.62341088675
2015-06-30,45241.90068690413,46673.267619281294,44526.58762613876
2015-07-07,43949.236401885486,45241.90068690413,46673.267619281294
2015-07-14,42705.79328036096,43949.236401885486,45241.90068690413
2015-07-21,42795.41753166458,42705.79328036096,43949.236401885486
2015-07-28,47978.149176036124,42795.41753166458,42705.79328036096
2015-08-04,51059.94885974797,47978.149176036124,42795.41753166458
2015-08-11,52475.01011592413,51059.94885974797,47978.149176036124
2015-08-18,53731.174086608575,52475.01011592413,51059.94885974797
2015-08-25,53466.29147216861,53731.174086608575,52475.01011592413
2015-09-01,54240.8743145799,53466.29147216861,53731.174086608575
2015-09-08,56605.41569551963,54240.8743145799,53466.29147216861
2015-09-15,57500.07807572494,56605.41569551963,54240.8743145799
2015-09-22,57840.053574390084,57500.07807572494,56605.41569551963
2015-09-29,58102.63821920362,57840.053574390084,57500.07807572494
2015-10-06,51666.21741095837,58102.63821920362,57840.053574390084
2015-10-13,53609.24495858127,51666.21741095837,58102.63821920362
2015-10-20,58392.029832893684,53609.24495858127,51666.21741095837
